trip_id,trip_start_timestamp,trip_end_timestamp,fare,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
30000,12/31/2016 0:00,12/31/2016 0:00,6.25,329,69,728,277
30001,12/31/2016 0:00,12/31/2016 0:00,9.25,329,69,779,81
30002,12/31/2016 0:00,12/31/2016 0:15,11.75,18,610,427,286
30003,12/31/2016 0:00,12/31/2016 0:00,6,210,470,744,605
30004,12/31/2016 0:00,12/31/2016 0:15,6,686,500,686,500
30005,12/31/2016 0:00,12/31/2016 0:00,50,686,500,686,500
30006,12/31/2016 0:00,12/31/2016 0:00,4.75,18,610,419,615
30007,12/31/2016 0:00,12/31/2016 0:15,9,599,346,199,510
30008,12/31/2016 0:00,12/31/2016 0:15,6.25,210,470,754,410
30009,12/31/2016 0:00,12/31/2016 0:15,9.75,18,610,474,204
30010,12/31/2016 0:00,12/31/2016 0:00,7.25,419,615,474,204
30011,12/31/2016 0:00,12/31/2016 0:15,4.25,454,453,454,453
30012,12/31/2016 0:00,12/31/2016 0:15,9.25,695,366,411,545
30013,12/31/2016 0:00,12/31/2016 0:15,5,767,733,526,511
30014,12/31/2016 0:00,12/31/2016 0:00,7.75,413,636,18,610
30015,12/31/2016 0:00,12/31/2016 0:15,5.5,454,453,695,366
30016,12/31/2016 0:00,12/31/2016 0:00,8.75,,,,
30017,12/31/2016 0:00,12/31/2016 0:00,6.25,744,605,754,410
30018,12/31/2016 0:00,12/31/2016 0:15,10,486,665,754,410
30019,12/31/2016 0:00,12/31/2016 0:00,5.5,599,346,385,478
30020,12/31/2016 0:00,12/31/2016 0:15,6.25,744,605,419,615
30021,12/31/2016 0:00,12/31/2016 0:15,10.25,591,433,744,605
30022,12/31/2016 0:00,12/31/2016 0:15,11.25,754,410,753,551
30023,12/31/2016 0:00,12/31/2016 0:15,16.25,599,346,686,500
30024,12/31/2016 0:00,12/31/2016 0:15,9,486,665,697,693
30025,12/31/2016 0:00,12/31/2016 0:00,5.75,395,408,681,196
30026,12/31/2016 0:00,12/31/2016 0:15,9.5,45,163,454,453
30027,12/31/2016 0:00,12/31/2016 0:00,6.75,210,470,744,605
30028,12/31/2016 0:00,12/31/2016 0:00,5.75,454,453,767,733
30029,12/31/2016 0:00,12/31/2016 0:00,6.75,688,206,744,605
30030,12/31/2016 0:00,12/31/2016 0:15,10.5,,,,
30031,12/31/2016 0:00,12/31/2016 0:15,16.25,606,617,5,15
30032,12/31/2016 0:00,12/31/2016 0:15,6.5,695,366,18,610
30033,12/31/2016 0:00,12/31/2016 0:00,5,220,761,144,741
30034,12/31/2016 0:00,12/31/2016 0:15,7.25,170,351,419,615
30035,12/31/2016 0:00,12/31/2016 0:15,12,,,,
30036,12/31/2016 0:00,12/31/2016 0:15,14,96,716,595,671
30037,12/31/2016 0:00,12/31/2016 0:15,10,686,500,556,288
30038,12/31/2016 0:00,12/31/2016 0:15,5.75,686,500,686,500
30039,12/31/2016 0:00,12/31/2016 0:00,5.75,419,615,395,408
30040,12/31/2016 0:00,12/31/2016 0:15,26.75,599,346,37,370
30041,12/31/2016 0:00,12/31/2016 0:15,5.5,754,410,210,470
30042,12/31/2016 0:00,12/31/2016 0:00,5.25,604,668,604,668
30043,12/31/2016 0:00,12/31/2016 0:15,11.5,599,346,173,203
30044,12/31/2016 0:00,12/31/2016 0:30,35.25,433,757,130,532
30045,12/31/2016 0:00,12/31/2016 0:00,4.75,754,410,754,410
30046,12/31/2016 0:00,12/31/2016 0:15,9,660,120,109,708
30047,12/31/2016 0:00,12/31/2016 0:15,7,688,206,18,610
30048,12/31/2016 0:00,12/31/2016 0:00,13.75,686,500,599,346
30049,12/31/2016 0:00,12/31/2016 0:15,6.75,754,410,454,453
30050,12/31/2016 0:00,12/31/2016 0:00,6.75,684,503,684,503
30051,12/31/2016 0:00,12/31/2016 0:15,13.5,604,668,399,780
30052,12/31/2016 0:00,12/31/2016 0:15,10.5,395,408,161,649
30053,12/31/2016 0:00,12/31/2016 0:15,13.25,294,113,697,693
30054,12/31/2016 0:00,12/31/2016 0:00,9,730,775,454,453
30055,12/31/2016 0:00,12/31/2016 0:00,4.25,173,203,173,203
30056,12/31/2016 0:00,12/31/2016 0:30,29.75,433,757,419,615
30057,12/31/2016 0:00,12/31/2016 0:15,10.5,599,346,599,346
30058,12/31/2016 0:00,12/31/2016 0:15,20,158,270,568,155
30059,12/31/2016 0:00,12/31/2016 0:00,10,556,288,686,500
30060,12/31/2016 0:00,12/31/2016 0:15,38,575,547,199,510
30061,12/31/2016 0:00,12/31/2016 0:15,7,158,270,199,510
30062,12/31/2016 0:00,12/31/2016 0:15,11,170,351,374,660
30063,12/31/2016 0:00,12/31/2016 0:15,9.75,109,708,199,510
30064,12/31/2016 0:00,12/31/2016 0:15,7.5,454,453,754,410
30065,12/31/2016 0:00,12/31/2016 0:15,11.5,220,761,661,189
30066,12/31/2016 0:00,12/31/2016 0:15,14.25,599,346,686,500
30067,12/31/2016 0:00,12/31/2016 0:15,12.5,173,203,399,780
30068,12/31/2016 0:00,12/31/2016 0:15,16.5,599,346,686,500
30069,12/31/2016 0:00,12/31/2016 0:15,5.75,754,410,744,605
30070,12/31/2016 0:00,12/31/2016 0:15,9.25,454,453,353,234
30071,12/31/2016 0:00,12/31/2016 0:15,6.5,199,510,604,668
30072,12/31/2016 0:00,12/31/2016 0:15,12.75,385,478,199,510
30073,12/31/2016 0:00,12/31/2016 0:15,16.25,599,346,686,500
30074,12/31/2016 0:00,12/31/2016 0:15,10.75,599,346,438,199
30075,12/31/2016 0:00,12/31/2016 0:15,6.25,158,270,158,270
30076,12/31/2016 0:00,12/31/2016 0:00,5.5,686,500,686,500
30077,12/31/2016 0:00,12/31/2016 0:15,11.25,681,196,374,660
