trip_id,trip_start_timestamp,trip_end_timestamp,fare,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
32761dfbd17e17c7594369a27b47d01e42b9d81c,12/31/2016 19:30,12/31/2016 19:30,0,,,,
79429ce2f9829733a2b1b6f69ae5b142328657a7,12/31/2016 9:15,12/31/2016 9:15,5,,,,
7e0faa899f6a26956b36869b9b1611eada9fcc89,12/31/2016 14:45,12/31/2016 14:45,5,,,,
81db25b59367547741729e1146d9b4231e992dc6,12/31/2016 23:00,12/31/2016 23:15,8.5,,,,
9265d84f94934a4b36b3bc2d96f93e48e789745a,12/31/2016 5:00,1/1/2017 0:00,0,,,,
978b55d79dc5877664e5acbf4d90e343d5e5b718,12/31/2016 0:30,12/31/2016 0:30,9.25,,,,
a597d9171072af54fa50defa68ebaa4bf5008a15,12/31/2016 12:00,12/31/2016 12:15,6,,,,
bdf407a3ba6e251ac67983b65346aa9c4fda81b0,12/31/2016 14:30,12/31/2016 14:45,7.75,,,,
ecbd24ebd22b2c46a84ce3a06c7f8576eed52286,12/31/2016 21:45,12/31/2016 21:45,8,,,,
fbd9dae1b328274ba30c5ebaac4bb54d23c1a1ab,12/31/2016 14:45,12/31/2016 14:45,6.5,,,,
fbdfca80d4a894c709676d62cf3a1754ee3023c8,12/31/2016 21:00,12/31/2016 21:00,5.75,,,,
02847db485a2d331ad991e73aadd1e7930ebde97,12/31/2016 1:30,12/31/2016 1:45,6.25,41.90120699,-87.67635599,41.90120699,-87.67635599
03c31816c81af2c86c9289c22359c22507cfaffe,12/31/2016 22:15,12/31/2016 22:30,6.75,41.92276062,-87.69915534,41.92276062,-87.69915534
0417a35f9db99f8828887fdd42953d6c85b2f105,12/31/2016 19:45,12/31/2016 20:00,4.75,41.96581197,-87.65587879,41.96581197,-87.65587879
062dcecdcce04400aa81907294a11f622de49ddd,12/31/2016 3:00,12/31/2016 3:00,17.75,41.92185491,-87.64621098,,
07a800a010437e5718c8c46f6d5bc6d4ebadb3c3,12/31/2016 23:15,12/31/2016 23:30,8,41.88528132,-87.6572332,41.89321636,-87.63784421
0a4bf27162d338893ad9cd33048f4838d4dcbf2c,12/31/2016 0:15,12/31/2016 0:30,8.25,41.89960211,-87.63330804,41.89960211,-87.63330804
0b313871bb5e22434be939777b4773d4bc20ec32,12/31/2016 17:00,12/31/2016 17:15,20,41.89960211,-87.63330804,41.9442266,-87.65599818
0e16e461b21f26b0ac3583fa5d5fb286b3e4a8a3,12/31/2016 14:15,12/31/2016 14:45,15.25,41.92268628,-87.64948873,41.87400538,-87.66351755
0efe698106a8086fab8d3c59fc97f6441a0e0bd6,12/31/2016 18:15,12/31/2016 18:30,4.25,41.96581197,-87.65587879,41.96581197,-87.65587879
1198c3af81853a68408a89a6a9a04dd6445d42c3,12/31/2016 14:45,12/31/2016 14:45,6.75,41.92268628,-87.64948873,41.9442266,-87.65599818
151d350e15288f345db7c5f8fa5236717641b5c2,12/31/2016 23:00,12/31/2016 23:45,64.25,41.96581197,-87.65587879,,
16b4eb24958b8987f245b013bdcca17fe36a2fc4,12/31/2016 10:15,12/31/2016 10:30,7.25,41.87886558,-87.62519214,41.87400538,-87.66351755
17ac4776b397c613b8e1863dc2088e0e240c20ac,12/31/2016 5:00,12/31/2016 5:15,21.25,41.89960211,-87.63330804,41.92726096,-87.76550161
1a2d44aa18efdef709e79d054c2f9865adc77b10,12/31/2016 22:15,12/31/2016 22:30,7,41.89915561,-87.62621053,41.91461629,-87.63171737
1ddd7e6bf2da1fd77abe0d74dfeb5e3fd06b3ba9,12/31/2016 0:45,12/31/2016 1:00,11.25,41.9867118,-87.66341641,41.9442266,-87.65599818
1e4844929c68245c4421018dc0bdc3375feca730,12/31/2016 11:00,12/31/2016 11:15,12.25,41.9442266,-87.65599818,41.89960211,-87.63330804
1eeaa61d93056600ec6e5f559c76d0d6feb1b2de,12/31/2016 2:30,12/31/2016 2:30,7.75,41.9442266,-87.65599818,41.9442266,-87.65599818
1f7345210559f29daae3415e8b3ffb2ac59e472b,12/31/2016 23:00,12/31/2016 23:15,5.5,41.79259236,-87.76961545,41.79259236,-87.76961545
1fb24578544a4370bbb28749c43a4075b4353460,12/31/2016 19:00,12/31/2016 19:15,11.75,41.90120699,-87.67635599,41.9442266,-87.65599818
202189db1842a36970413a769662689bb8f3ab36,12/31/2016 9:15,12/31/2016 9:30,22.5,41.98026432,-87.9136246,,
299e124f9468598bdb42cb57192add70dd1dcb77,12/31/2016 1:15,12/31/2016 1:30,13.25,41.94779159,-87.68383494,42.00157103,-87.69501259
2adf7642d090f2ac8d6c997497b60a846538d88d,12/31/2016 18:30,12/31/2016 19:15,27.75,41.89960211,-87.63330804,,
2b0add974ab459718b2db5f4b93c571c9774e1fb,12/31/2016 19:00,12/31/2016 19:00,3.25,,,41.9850151,-87.80453201
2bf851a7f7b57342fc0a341868966ca88724159d,12/31/2016 21:00,12/31/2016 21:15,11.75,41.92268628,-87.64948873,41.89960211,-87.63330804
2de17c36147fe30323d9f649f5f7f2d6ecd5bb38,12/31/2016 8:00,12/31/2016 8:00,3.75,,,41.97907082,-87.90303966
2e55e284e3e3d0fb8627e20e411ff7b322208fd4,12/31/2016 13:00,12/31/2016 13:15,22,41.79409025,-87.59231086,41.89960211,-87.63330804
2fa8e52f7709fc624e6e9b443ea46d04908d40f9,12/31/2016 18:00,12/31/2016 18:15,19.25,41.87400538,-87.66351755,41.9442266,-87.65599818
30d4df7ef86ec041d2238d54eb516b26cf0333bf,12/31/2016 15:00,12/31/2016 15:15,17.25,41.9867118,-87.66341641,,
30f6f524b00330f25f62f90afe9cd56ec7163d1a,12/31/2016 14:00,12/31/2016 14:30,43.25,41.98026432,-87.9136246,,
333464bccc6e56d92e201bd9a36c02474e12f7e4,12/31/2016 14:00,12/31/2016 14:15,10,,,41.89950655,-87.67960029
34aed588c3732950755e65bc16937f159a429e61,12/31/2016 0:00,12/31/2016 0:15,14.5,41.89960211,-87.63330804,41.92268628,-87.64948873
35558951218c842a6bceca2bc7b7579994968be7,12/31/2016 11:15,12/31/2016 11:15,3.25,,,41.92276062,-87.69915534
37b490200080da8e76c463980f038cef90aa4846,12/31/2016 0:15,12/31/2016 0:45,22.25,41.87886558,-87.62519214,41.92726096,-87.76550161
387bd435ada0bf123505c5d6ae366ac0315f2240,12/31/2016 2:30,12/31/2016 2:45,11,41.90120699,-87.67635599,41.9386662,-87.71121059
39dd9c7112f72451f66e8258648dbf1e01ee5fd1,12/31/2016 20:00,12/31/2016 20:30,14.5,41.9442266,-87.65599818,41.89960211,-87.63330804
3c8a4fe1566479871c1d58cb9b544aa377635711,12/31/2016 12:30,12/31/2016 12:30,8.25,41.98026432,-87.9136246,41.9867118,-87.66341641
3cc93f52b18ff20a6dd020393411c754f5cbe4c8,12/31/2016 6:45,12/31/2016 7:00,29.5,41.90120699,-87.67635599,,
3dbb109d88945dfbf6c354c994622c66c3941506,12/31/2016 16:15,12/31/2016 16:30,11.25,,,41.87400538,-87.66351755
40e238fbab0e5f52e2464a3b77b766a250193904,12/31/2016 22:45,12/31/2016 22:45,8,41.88498719,-87.62099291,,
4228cfa38a31f7eed880e3598e5d4feecc628ec4,12/31/2016 8:30,12/31/2016 9:00,29.5,41.98026432,-87.9136246,,
43999afe0776d563a02b865a16f38353e3ce8e62,12/31/2016 0:45,12/31/2016 1:00,17.25,41.89204214,-87.63186395,41.94257719,-87.64707851
46877445a5a234c6013e81b1b54cf69b1c55be07,12/31/2016 19:45,12/31/2016 20:00,16,41.90120699,-87.67635599,41.89960211,-87.63330804
471b1d7d4ee744650a394dbf3c829cd4a1305ce8,12/31/2016 5:30,12/31/2016 6:00,41.75,41.89960211,-87.63330804,41.98026432,-87.9136246
483a106c843693653f63b7f8db55e360d9242781,12/31/2016 13:15,12/31/2016 13:30,9,41.968069,-87.72155906,41.9442266,-87.65599818
494a9678cdd355ef26107e305bb33469f5f27c5d,12/31/2016 23:00,12/31/2016 23:30,46,41.89960211,-87.63330804,,
4a15f40c5b4245db2d63d808d5ea2060425bc030,12/31/2016 12:45,12/31/2016 12:45,8,42.00157103,-87.69501259,41.9867118,-87.66341641
4d92146f34cf3e01a510f912f554b6b59b32de05,12/31/2016 21:30,12/31/2016 21:45,8.5,41.87400538,-87.66351755,41.90120699,-87.67635599
4e1a9f2b59b05e23ecb51ead0833aa51acc044c4,12/31/2016 2:30,12/31/2016 2:45,7.75,41.92268628,-87.64948873,41.89960211,-87.63330804
503a5ed15e91a5fe84a1432514e986ba20163399,12/31/2016 16:00,12/31/2016 16:00,5.75,,,41.89503345,-87.61971067
504b1b065dd52ff2aa81f227b8898bea7b0f5cf9,12/31/2016 23:45,12/31/2016 23:45,9.25,41.96581197,-87.65587879,41.968069,-87.72155906
52c2a706d6b206ed0c6333a17115d1d3723f2bdb,12/31/2016 0:15,12/31/2016 0:30,17.75,41.96581197,-87.65587879,41.90120699,-87.67635599
54fdc68ab75ec485afca629f20a7eaba7819b89b,12/31/2016 19:45,12/31/2016 20:00,8.5,41.92276062,-87.69915534,41.94779159,-87.68383494
5b37b1bc4961f6f5e0543c15b99c192a2e1dd452,12/31/2016 6:00,12/31/2016 6:30,41.5,41.9442266,-87.65599818,41.79259236,-87.76961545
5b9d8927f685f4661cf0b6c091f54c303597c553,12/31/2016 0:30,12/31/2016 0:45,7.75,41.89960211,-87.63330804,41.90120699,-87.67635599
5d81f5644a50fd6df15d292799701e9f4193e059,12/31/2016 1:45,12/31/2016 1:45,3.25,41.89830587,-87.65361398,,
6058d09d2b65712a999ad173c58dfc1ae7d766bd,12/31/2016 16:30,12/31/2016 16:30,17.25,41.9867118,-87.66341641,41.89960211,-87.63330804
65bc376ce8cc5169c31fec7d77eca6f046f05c6a,12/31/2016 12:15,12/31/2016 12:30,12.75,41.89960211,-87.63330804,41.9442266,-87.65599818
697761d7d8d97645e4f810f6772ee6a620889924,12/31/2016 5:00,12/31/2016 5:30,42.75,41.98026432,-87.9136246,41.89960211,-87.63330804
6f46c150f45932e46331b9b03625046a21adfc66,12/31/2016 19:00,12/31/2016 19:15,7.5,41.89960211,-87.63330804,41.9867118,-87.66341641
7143266584ea8017155913a66ef4a76e8757eeb4,12/31/2016 12:15,12/31/2016 12:30,5,41.92268628,-87.64948873,41.92268628,-87.64948873
72e3fae741e06893ce29b377a52e6719061cf75c,12/31/2016 21:15,12/31/2016 21:30,8.5,41.9442266,-87.65599818,41.92268628,-87.64948873
7464843609d075d51dc1629299736f4b78967492,12/31/2016 13:45,12/31/2016 13:45,3.25,41.89915561,-87.62621053,,
7684c3ca23d3fdf4190f22cc2836f9cc4c13a991,12/31/2016 0:00,12/31/2016 0:00,7.5,41.92268628,-87.64948873,41.90120699,-87.67635599
774ee7e638814c8a3f85cbf7a00cf3366bc043b8,12/31/2016 18:00,12/31/2016 18:15,6.75,41.9442266,-87.65599818,41.9442266,-87.65599818
793e18c564391dcf7d4ed4a45bedb080e999c467,12/31/2016 20:00,12/31/2016 20:15,12,,,41.89250778,-87.62621491
7fb8783856225ce8c9ece719f67ad8e2814fcc9a,12/31/2016 1:30,12/31/2016 1:30,7.75,41.9442266,-87.65599818,,
8022d84061d747f2d5c6374541b19b974e2538ce,12/31/2016 23:15,12/31/2016 23:15,4.25,41.92276062,-87.69915534,41.92276062,-87.69915534
8213eb5da7d134c3c7fb05ffb3a9eec650f4834a,12/31/2016 3:30,12/31/2016 3:45,15.75,41.9442266,-87.65599818,41.89960211,-87.63330804
8302a322a7c3fd7886395aea01f9f3bc947129da,12/31/2016 21:45,12/31/2016 22:15,64,41.98026432,-87.9136246,41.77887686,-87.59492544
8534e680cbfd5ee5feca8847f6d0b38f9b95de9a,12/31/2016 0:15,12/31/2016 0:45,47.75,41.89960211,-87.63330804,,
88ad779335fff67051248ef2f6e9bcace4232dc4,12/31/2016 18:00,12/31/2016 18:00,11.25,41.9442266,-87.65599818,41.89960211,-87.63330804
891c6caa57268c75e3408a804a1a2a52c6058d8e,12/31/2016 10:30,12/31/2016 11:00,38.75,41.98026432,-87.9136246,,
893d7af96e66b043c98c0d9f8268465772e6cd92,12/31/2016 23:00,12/31/2016 23:00,7.25,41.9442266,-87.65599818,41.92268628,-87.64948873
8e17055ef1145c0025e9839f22dcf4419804e66d,12/31/2016 14:00,12/31/2016 14:15,13.75,41.98026432,-87.9136246,,
8f1ad5bd57995503d9b49b291bb7176d3883e15b,12/31/2016 16:30,12/31/2016 16:45,17,41.89960211,-87.63330804,41.9442266,-87.65599818
8f8ee165243baece99ef552caad0cc54e3d720f6,12/31/2016 22:15,12/31/2016 22:30,5.75,41.87400538,-87.66351755,41.9442266,-87.65599818
9113ec918fb14d749c146b10328a6b36292d5bbb,12/31/2016 18:00,12/31/2016 18:15,12,41.92268628,-87.64948873,41.89960211,-87.63330804
92d42814190c366427a86e0df86fbf12949ccc5d,12/31/2016 22:30,12/31/2016 22:45,23,41.92268628,-87.64948873,42.00157103,-87.69501259
93069cb1a1a6c522480335918e37af0779e1ec14,12/31/2016 13:30,12/31/2016 13:45,11.25,41.92268628,-87.64948873,41.90120699,-87.67635599
943d19592a85d39c76a50ebd7a43bde57f2dcb7b,12/31/2016 0:15,12/31/2016 0:45,40.25,41.98026432,-87.9136246,,
9632dc602b41ea241d44aaf6f3ff4858d86c48a4,12/31/2016 3:30,12/31/2016 3:45,9,41.92268628,-87.64948873,41.94779159,-87.68383494
9694935052aa6941997b62bac5f63543f0d2a795,12/31/2016 12:15,12/31/2016 12:45,39,41.98026432,-87.9136246,41.9442266,-87.65599818
97bb77687f0b1ec3e604bc6ace043b7f9da8e4d8,12/31/2016 19:15,12/31/2016 19:45,39.25,41.98026432,-87.9136246,,
97c56deffbfdc45d943709166a6ef9f1d8c7a122,12/31/2016 23:45,12/31/2016 23:45,5.25,41.9442266,-87.65599818,41.9442266,-87.65599818
98289f74c05c70c2949a2e6d0b3db2a56a28d6e0,12/31/2016 0:45,12/31/2016 1:15,18.25,41.94779159,-87.68383494,,
98de8273792261ee6d5def56591c671bdc664f5e,12/31/2016 19:30,12/31/2016 19:30,4.5,41.96581197,-87.65587879,41.96581197,-87.65587879
98e954186b4a2e5290de850d6eb1f82a1ed2a12e,12/31/2016 23:00,12/31/2016 23:00,8,41.9442266,-87.65599818,41.92268628,-87.64948873
9b02cae726a7d184225a77f36a2adc9cff399816,12/31/2016 11:00,12/31/2016 11:00,3.25,42.00157103,-87.69501259,42.00157103,-87.69501259
9d390d512ac4701a1c43d8ea3fedad0584a0960d,12/31/2016 1:30,12/31/2016 1:45,5.75,41.79259236,-87.76961545,41.79259236,-87.76961545
9de3fa01e39f8ff8c754fd90f25e0e5fd2c17ffb,12/31/2016 22:45,12/31/2016 23:15,45.5,,,41.88498719,-87.62099291
9e5d471eef8cc577adcf0f0be2eb7d8d8e6f6705,12/31/2016 1:00,12/31/2016 1:15,18,41.92268628,-87.64948873,41.85026637,-87.66756931
a01138c321aa7d8d477d87e4c2f4a3d86848d25e,12/31/2016 1:45,12/31/2016 1:45,7.75,41.90120699,-87.67635599,41.90120699,-87.67635599
a013284abed28de2fca1448a46f7a64f9adea5b8,12/31/2016 15:30,12/31/2016 15:30,12.75,41.98026432,-87.9136246,,
a36f60e184d100eb672691b6250f0517212a5759,12/31/2016 17:30,12/31/2016 17:30,4.5,41.9867118,-87.66341641,41.9867118,-87.66341641
a525ae9dfc2dcb6214de72991fd3f4a35c482222,12/31/2016 22:45,12/31/2016 22:45,4.25,41.89321636,-87.63784421,41.89204214,-87.63186395
a604889651d415ef9080ae08daccc3b414fed461,12/31/2016 19:00,12/31/2016 19:15,13.25,41.87886558,-87.62519214,41.96581197,-87.65587879
a65d30775fe8ffd79ec8cca7e07b5edb7de44aee,12/31/2016 13:45,12/31/2016 14:00,9.5,41.92726096,-87.76550161,41.92726096,-87.76550161
a6e6c6202fa2bf90c801abba94af41dcf717ff00,12/31/2016 9:45,12/31/2016 10:15,43,41.89960211,-87.63330804,41.71749304,-87.64889507
a75d6675ca98429fb6597872b9cf854822409be9,12/31/2016 10:30,12/31/2016 10:30,7.75,41.87886558,-87.62519214,41.87886558,-87.62519214
a77a4400991236da3cdb2d0864d67771b16228bd,12/31/2016 22:15,12/31/2016 22:15,4.25,41.90120699,-87.67635599,41.92276062,-87.69915534
a7adfd4e80b2f2154e0060b16279e727dda8f45f,12/31/2016 11:15,12/31/2016 11:45,29.25,41.87400538,-87.66351755,,
a8a0b133dd16e06007b0d5cb0c61ff5e1328e1b1,12/31/2016 0:00,12/31/2016 0:15,9.25,41.97517094,-87.68751552,41.9867118,-87.66341641
a8b3eb6b97b0a4170a9b7ff26a9f320c9ba35509,12/31/2016 0:15,12/31/2016 0:30,12.75,41.92276062,-87.69915534,41.9442266,-87.65599818
a8e60eac803263043b702e6af049721183899e34,12/31/2016 2:15,12/31/2016 2:30,7.75,41.90120699,-87.67635599,41.9000696,-87.72091824
a972ff0f8d4abee4507d527b185e8343f1322167,12/31/2016 23:45,12/31/2016 23:45,8.75,41.92268628,-87.64948873,41.90120699,-87.67635599
ab70c27ce8802b7ba8ae73ff887875c8613dc3da,12/31/2016 16:00,12/31/2016 16:15,5.75,41.9442266,-87.65599818,41.9442266,-87.65599818
ab79f5d69b860480f887336271b998692732877b,12/31/2016 16:00,1/1/2017 0:00,0,41.97517094,-87.68751552,41.97517094,-87.68751552
b0f116e552b5f53e216b78fa894c550cc7674a8a,12/31/2016 21:30,12/31/2016 21:30,13.25,41.87886558,-87.62519214,41.83511799,-87.61867777
b3989f1cc9f0aa22e4d11549315396d130836799,12/31/2016 19:15,12/31/2016 19:15,5,41.92268628,-87.64948873,41.9442266,-87.65599818
b7f742badcf45f92dd7fe038b024e905c6f87aaa,12/31/2016 2:45,12/31/2016 3:00,20.25,41.90120699,-87.67635599,,
b99043616e03ae75ba15dc0fbd8cc82b5c1f4122,12/31/2016 14:15,12/31/2016 14:15,8,41.87886558,-87.62519214,41.85718386,-87.62033462
bc5fc1fce6cca917953ad17fcbebef3bd0b6c17f,12/31/2016 22:15,12/31/2016 22:15,4.5,41.89197151,-87.61294541,,
c11567917caa81cf7bbeeea9a79de83350c555d1,12/31/2016 23:15,12/31/2016 23:30,26.5,41.89960211,-87.63330804,,
c40903676a9de13e3ca983f380e8e37393600a68,12/31/2016 19:45,12/31/2016 20:00,40.5,,,41.89830587,-87.65361398
c6ca62f0992ff1041816de308d26b8051f8c172d,12/31/2016 12:45,12/31/2016 12:45,5.5,41.95358213,-87.72345239,41.95358213,-87.72345239
c7195b1bf6d03954e7a6dd6c24ff105c295b0c35,12/31/2016 21:30,12/31/2016 22:15,65,41.97907082,-87.90303966,,
ca4112944726a7f6e933b2d19a8ceeb6c6026662,12/31/2016 19:30,12/31/2016 20:30,88.25,41.98026432,-87.9136246,,
cbc78f54af045a10eaab69869bf29ec8bfa1f365,12/31/2016 15:15,12/31/2016 16:00,49.75,41.98026432,-87.9136246,41.85026637,-87.66756931
ccf4d20d8e091d09fb5821e3abd00261473c876c,12/31/2016 0:45,12/31/2016 0:45,5,41.9442266,-87.65599818,41.9442266,-87.65599818
d255c2cdea03d6b48331bfd0b9d7f2273803395a,12/31/2016 11:15,12/31/2016 11:45,27.5,41.98026432,-87.9136246,,
d2d8d3186935837e26cc317013a1d48a143406de,12/31/2016 1:30,12/31/2016 1:30,9.75,41.98026432,-87.9136246,,
d30692d89cb074f6610d3c9c10e4ca46956962ed,12/31/2016 18:45,12/31/2016 19:00,11.25,41.90120699,-87.67635599,41.89960211,-87.63330804
d501ec334fa3538819c7ddb68de018576ee3d3d6,12/31/2016 11:30,12/31/2016 11:45,10.75,41.87400538,-87.66351755,41.89960211,-87.63330804
d50bd304accf774f09ded0fdcc56aa70a3959407,12/31/2016 21:15,12/31/2016 21:15,8,41.90120699,-87.67635599,41.90120699,-87.67635599
d53ad247f3e42076a3cd0cac827815f6e9b9296f,12/31/2016 13:15,12/31/2016 13:30,31,41.98026432,-87.9136246,,
d6d13af2f75cff7ba47755c216918f796ec0d98d,12/31/2016 16:00,12/31/2016 16:15,9,41.89197151,-87.61294541,41.87060737,-87.62217294
da1df093b0b677c59fe3e34de0beb1a06a38a728,12/31/2016 13:45,12/31/2016 14:15,10,41.89833179,-87.62076287,,
dadf847d6100a696dc052991e492a6cf950749f0,12/31/2016 22:45,12/31/2016 23:00,11,,,41.90120699,-87.67635599
db34dad8158e51dfccf6e9227a96dcdcd49ea6b6,12/31/2016 3:30,12/31/2016 3:30,3.75,41.89321636,-87.63784421,41.89321636,-87.63784421
db65210df23911ebc93d87047c4c7382ca3393e7,12/31/2016 13:45,12/31/2016 13:45,6,41.9867118,-87.66341641,41.9867118,-87.66341641
e0bfd44249029d83a302ecefaa55f46b75de220f,12/31/2016 2:15,12/31/2016 2:15,4.75,41.9867118,-87.66341641,41.97517094,-87.68751552
e5a850f3756b806e7150c0b68f4be4002089d45b,12/31/2016 0:30,12/31/2016 0:45,6.5,41.87400538,-87.66351755,41.87400538,-87.66351755
